"id","timestamp","value","unit"
1,2021-11-22T00:00:00Z,412,kwh
1,2021-11-23T00:00:00Z,531.01,kwh
1,2021-11-24T00:00:00Z,527.01,kwh
1,2021-11-25T00:00:00Z,484,kwh
1,2021-11-26T00:00:00Z,464.99,kwh
1,2021-11-27T00:00:00Z,449.98,kwh
1,2021-11-28T00:00:00Z,577.02,kwh
2,2021-11-22T00:00:00Z,201.7,kwh
2,2021-11-23T00:00:00Z,239.92,kwh
2,2021-11-24T00:00:00Z,246.91,kwh
2,2021-11-25T00:00:00Z,226.34,kwh
2,2021-11-26T00:00:00Z,128.05,kwh
2,2021-11-27T00:00:00Z,204.85,kwh
2,2021-11-28T00:00:00Z,243.06,kwh
3,2021-11-22T00:00:00Z,297.88,kwh
3,2021-11-23T00:00:00Z,367.89,kwh
3,2021-11-24T00:00:00Z,383.19,kwh
3,2021-11-25T00:00:00Z,336.87,kwh
3,2021-11-26T00:00:00Z,198.69,kwh
3,2021-11-27T00:00:00Z,305.06,kwh
3,2021-11-28T00:00:00Z,370.01,kwh
