"id","timestamp","value","unit"
4Hvp3QQ,2021-11-18T00:00:00Z,28.1993,Wh
4Hvp3QQ,2021-11-19T00:00:00Z,33.1924,Wh
4Hvp3QQ,2021-11-20T00:00:00Z,47.4196,Wh
4Hvp3QQ,2021-11-21T00:00:00Z,20.4428,Wh
4Hvp3QQ,2021-11-22T00:00:00Z,35.8213,Wh
4Hvp3QQ,2021-11-23T00:00:00Z,15.1053,Wh
4Hvp3QQ,2021-11-24T00:00:00Z,59.4544,Wh
okP7eDH,2021-11-18T00:00:00Z,332.026,Wh
okP7eDH,2021-11-19T00:00:00Z,517.339,Wh
okP7eDH,2021-11-20T00:00:00Z,528.511,Wh
okP7eDH,2021-11-21T00:00:00Z,327.026,Wh
okP7eDH,2021-11-22T00:00:00Z,382.611,Wh
okP7eDH,2021-11-23T00:00:00Z,239.109,Wh
okP7eDH,2021-11-24T00:00:00Z,196.293,Wh
4Fhchhj,2021-11-18T00:00:00Z,296.394,Wh
4Fhchhj,2021-11-19T00:00:00Z,298.883,Wh
4Fhchhj,2021-11-20T00:00:00Z,276.285,Wh
4Fhchhj,2021-11-21T00:00:00Z,234.219,Wh
4Fhchhj,2021-11-22T00:00:00Z,215.992,Wh
4Fhchhj,2021-11-23T00:00:00Z,260.675,Wh
4Fhchhj,2021-11-24T00:00:00Z,223.174,Wh
4eYN-Gy,2021-11-18T00:00:00Z,0,Wh
4eYN-Gy,2021-11-19T00:00:00Z,159.927,Wh
4eYN-Gy,2021-11-20T00:00:00Z,0,Wh
4eYN-Gy,2021-11-21T00:00:00Z,0,Wh
4eYN-Gy,2021-11-22T00:00:00Z,0,Wh
4eYN-Gy,2021-11-23T00:00:00Z,0,Wh
4eYN-Gy,2021-11-24T00:00:00Z,0,Wh
PLGrUny,2021-11-18T00:00:00Z,296.308,Wh
PLGrUny,2021-11-19T00:00:00Z,457.138,Wh
PLGrUny,2021-11-20T00:00:00Z,352.391,Wh
PLGrUny,2021-11-21T00:00:00Z,526.848,Wh
PLGrUny,2021-11-22T00:00:00Z,356.542,Wh
PLGrUny,2021-11-23T00:00:00Z,451.745,Wh
PLGrUny,2021-11-24T00:00:00Z,441.537,Wh
5FK2Fz4,2021-11-18T00:00:00Z,209.474,Wh
5FK2Fz4,2021-11-19T00:00:00Z,366.594,Wh
