"id","timestamp","value","unit"
4Hvp3QQ,2021-12-19T00:00:00Z,35.8213,Wh
okP7eDH,2021-12-19T00:00:00Z,382.611,Wh
4Fhchhj,2021-12-19T00:00:00Z,215.992,Wh
4eYN-Gy,2021-12-19T00:00:00Z,0,Wh
PLGrUny,2021-12-19T00:00:00Z,356.542,Wh
5FK2Fz4,2021-12-19T00:00:00Z,259.368,Wh
HqVp5jP,2021-12-19T00:00:00Z,182.907,Wh
IHGFESJ,2021-12-19T00:00:00Z,249.742,Wh
A7DnKqm,2021-12-19T00:00:00Z,247.275,Wh
WxxNRqn,2021-12-19T00:00:00Z,240.475,Wh
LF_pxtp,2021-12-19T00:00:00Z,301.303,Wh
2lNtgkj,2021-12-19T00:00:00Z,470.691,Wh
JEfXIXm,2021-12-19T00:00:00Z,288.301,Wh
Dg4ZQh_,2021-12-19T00:00:00Z,308.214,Wh
RgTzNiV,2021-12-19T00:00:00Z,149.561,Wh
u8KJojx,2021-12-19T00:00:00Z,119.005,Wh
YHbORuK,2021-12-19T00:00:00Z,195.384,Wh
qqfa-2e,2021-12-19T00:00:00Z,126.932,Wh
oiLGgux,2021-12-19T00:00:00Z,404.793,Wh
YFW_Eu-,2021-12-19T00:00:00Z,196.441,Wh
LO8iIWF,2021-12-19T00:00:00Z,52.2511,Wh
AsyKir0,2021-12-19T00:00:00Z,49.6814,Wh
g8-Jxec,2021-12-19T00:00:00Z,57.7134,Wh
eePKmNP,2021-12-19T00:00:00Z,250.974,Wh
PHiFsyw,2021-12-19T00:00:00Z,638.855,Wh
fNb-1fY,2021-12-19T00:00:00Z,0,Wh
nFMKP_3,2021-12-19T00:00:00Z,,Wh
KJLmrVh,2021-12-19T00:00:00Z,363.878,Wh
k2EPh5p,2021-12-19T00:00:00Z,263.454,Wh
ZnOQzHo,2021-12-19T00:00:00Z,199.11,Wh
Wv9WKEv,2021-12-19T00:00:00Z,433.022,Wh
bNfGnYD,2021-12-19T00:00:00Z,409.555,Wh
SSf_nTD,2021-12-19T00:00:00Z,456.839,Wh
6QhpEr0,2021-12-19T00:00:00Z,168.773,Wh
KnzKrMi,2021-12-19T00:00:00Z,500.732,Wh
PH1UIbw,2021-12-19T00:00:00Z,319.312,Wh
qunvcNC,2021-12-19T00:00:00Z,449.768,Wh
bofqYnX,2021-12-19T00:00:00Z,458.69,Wh
f7KQLQY,2021-12-19T00:00:00Z,89.8451,Wh
R52_2c8,2021-12-19T00:00:00Z,196.9,Wh
GGrC59K,2021-12-19T00:00:00Z,,Wh
_rD2qpe,2021-12-19T00:00:00Z,250.986,Wh
NvT1v1D,2021-12-19T00:00:00Z,367.937,Wh
QHk6x-6,2021-12-19T00:00:00Z,181.886,Wh
BvUHIhi,2021-12-19T00:00:00Z,,Wh
mWnqmbv,2021-12-19T00:00:00Z,568.859,Wh
De-jIf9,2021-12-19T00:00:00Z,64.6343,Wh
cWcI21m,2021-12-19T00:00:00Z,162.678,Wh
DAWO_a9,2021-12-19T00:00:00Z,295.002,Wh
wgCgMDT,2021-12-19T00:00:00Z,997.635,Wh
-hoPe--,2021-12-19T00:00:00Z,1231.3,Wh
cWE__VN,2021-12-19T00:00:00Z,429.963,Wh
OBo27XZ,2021-12-19T00:00:00Z,1554.87,Wh
7BDu6jW,2021-12-19T00:00:00Z,526.949,Wh
ILo-d_s,2021-12-19T00:00:00Z,1895.39,Wh
w9P0nK1,2021-12-19T00:00:00Z,1502.44,Wh
SVPFG60,2021-12-19T00:00:00Z,654.852,Wh
EHeHEZa,2021-12-19T00:00:00Z,272.709,Wh
pLrr3Ys,2021-12-19T00:00:00Z,230.591,Wh
ve-GoD5,2021-12-19T00:00:00Z,1697.14,Wh
BJRxXOR,2021-12-19T00:00:00Z,150.49,Wh
AZw54Os,2021-12-19T00:00:00Z,621.175,Wh
SUVC2A3,2021-12-19T00:00:00Z,715.895,Wh
NncKXn1,2021-12-19T00:00:00Z,455.824,Wh
dz-lHTC,2021-12-19T00:00:00Z,208.157,Wh
gdZOkeX,2021-12-19T00:00:00Z,832.362,Wh
I5ZOt74,2021-12-19T00:00:00Z,260.697,Wh
gmWEkyG,2021-12-19T00:00:00Z,0,Wh
sfGCcKb,2021-12-19T00:00:00Z,280.494,Wh
IPfUHP7,2021-12-19T00:00:00Z,405.204,Wh
D3VOBtX,2021-12-19T00:00:00Z,689.554,Wh
FZ6sIMB,2021-12-19T00:00:00Z,308.973,Wh
dg3FcBU,2021-12-19T00:00:00Z,220.705,Wh
EM0Y1B2,2021-12-19T00:00:00Z,943.006,Wh
LzbDLxx,2021-12-19T00:00:00Z,1175.33,Wh
hmdT1ia,2021-12-19T00:00:00Z,694.152,Wh
xZlSyX5,2021-12-19T00:00:00Z,2.41928,Wh
0hDIfk0,2021-12-19T00:00:00Z,907.67,Wh
wZ_TqNf,2021-12-19T00:00:00Z,2073.76,Wh
d1CgjFy,2021-12-19T00:00:00Z,912.567,Wh
85qtoAe,2021-12-19T00:00:00Z,1383.6,Wh
yWwA3cu,2021-12-19T00:00:00Z,477.463,Wh
l9FcdQ6,2021-12-19T00:00:00Z,266.001,Wh
M7U3-61,2021-12-19T00:00:00Z,937.506,Wh
FQ2_rrl,2021-12-19T00:00:00Z,1022.11,Wh
Sgl1Amw,2021-12-19T00:00:00Z,652.738,Wh
RaGmf9b,2021-12-19T00:00:00Z,212.092,Wh
EC_P_86,2021-12-19T00:00:00Z,36.3671,Wh
